commit	val_loss	memory_gb	status	description
2205fd3	3.901702	10.3	discard	RoPE base 10000 -> 1000 (worse)
f0a6afa	3.892365	10.3	discard	WARMUP_STEPS 50 -> 100 (worse)
07c45f0	3.914013	10.3	discard	logit softcapping (Gemma 2 style cap=30)
87eefd6	3.876364	10.3	discard	RoPE base 10000 -> 100000 (marginally worse)
e72abc9	3.871270	10.3	discard	RoPE base 10000 -> 50000 (essentially same)
ebe2792	3.945753	10.3	discard	wider SwiGLU inner dim (1792 vs 1536) - slower per step
2fdad19	3.904992	10.3	discard	cross-entropy loss in float32 (added overhead)
b4a7ed7	3.950221	10.3	discard	n_head 8 -> 16 (head_dim 64 -> 32, worse)
2158c45	3.920836	10.3	discard	narrower SwiGLU (1/2) + 25 layers
150b928	3.853945	10.3	keep	MAX_LR 1.5e-3 -> 1.7e-3
3e725a6	3.852355	10.3	keep	MAX_LR 1.7e-3 -> 1.8e-3
50ba1ab	3.838122	10.0	keep	Muon optimizer for 2D transformer weights (LR=0.02)
ce8ef1c	3.883426	10.0	discard	MUON_LR 0.02 -> 0.03 (too high)
8b97492	3.825715	10.0	keep	MUON_LR 0.02 -> 0.015
3a12775	3.842127	10.0	discard	MUON_LR 0.015 -> 0.01 (too low)
5cc04aa	3.826143	10.0	discard	Newton-Schulz 5 -> 3 steps (same result)
7590263	3.808603	10.0	keep	AdamW MAX_LR 1.8e-3 -> 3.0e-3 for embeddings
f8f1eb8	3.805903	10.0	keep	AdamW MAX_LR 3e-3 -> 5e-3 for embeddings
989c86c	3.800617	10.0	keep	AdamW MAX_LR 5e-3 -> 8e-3 for embeddings
c182fb0	3.808860	10.0	discard	AdamW MAX_LR 8e-3 -> 1.2e-2 (too high)
e9d7100	3.825671	10.0	discard	TOTAL_BATCH_SIZE 65536 -> 131072 with Muon
3b9b235	3.800282	10.0	keep	NS steps 5 -> 3 (same loss + more steps + simpler)
6101048	3.803254	10.0	discard	Muon momentum 0.95 -> 0.9 (slightly worse)
8f44001	3.789024	10.0	keep	WEIGHT_DECAY 0.1 -> 0.05
3bb89c3	3.778161	10.0	keep	WEIGHT_DECAY 0.05 -> 0.02
6d842e7	3.776988	10.0	keep	WEIGHT_DECAY 0.02 -> 0.0 (simplification)
d1f0a8c	3.762805	10.0	keep	DECAY_FRACTION 0.15 -> 0.2
b71daaa	3.752034	10.0	keep	DECAY_FRACTION 0.2 -> 0.25
80e68bb	3.747439	10.0	keep	DECAY_FRACTION 0.25 -> 0.3
d011706	3.744153	10.0	keep	DECAY_FRACTION 0.3 -> 0.35
0c13595	3.741280	10.0	keep	DECAY_FRACTION 0.35 -> 0.4
42f69b3	3.741054	10.0	keep	DECAY_FRACTION 0.4 -> 0.5
a1271f8	3.743777	10.0	discard	DECAY_FRACTION 0.5 -> 0.6 (too much decay)
721c2c9	3.735182	10.0	keep	AdamW MAX_LR 8e-3 -> 1.2e-2 with decay 0.5
8e47f36	3.729083	10.0	keep	AdamW MAX_LR 1.2e-2 -> 2.0e-2
4cc5b8a	3.733235	10.0	discard	AdamW MAX_LR 2e-2 -> 3e-2 (too high)
44e0ff9	3.725242	10.0	keep	MUON_LR 0.015 -> 0.02 with emb LR 2e-2
6878875	3.726787	10.0	discard	MUON_LR 0.02 -> 0.025 (slightly worse)
130165d	3.749805	10.0	discard	21 layers (slower steps hurt)
e5b0fba	3.740832	10.0	discard	Muon without Nesterov (Nesterov helps)
b15a32a	3.726273	10.0	discard	WARMUP_STEPS 50 -> 30 (marginally worse)
71387e0	3.747013	10.0	discard	full cosine schedule (WSD still better)
24f87f6	3.734854	10.0	discard	parallel attn+MLP (GPT-J style, worse)
e4b4bd3	3.756389	10.0	discard	init std 0.02 -> 0.01 (worse)
eae1849	3.731232	10.0	discard	TOTAL_BATCH_SIZE 65536 -> 49152 with Muon
a7aa698	3.796880	10.0	discard	remove dpn norm with Muon (dpn still helps)
029f222	3.728449	10.0	discard	GRAD_CLIP 0.5 -> 1.0 with Muon (0.5 still better)
87f874e	3.711456	10.0	keep	AdamW beta2 0.95 -> 0.99 for embeddings
a9e4a6b	3.733017	10.0	discard	AdamW beta1 0.9 -> 0.95 (worse)
df20747	3.711846	10.0	discard	DECAY_FRACTION 0.5 -> 0.45 (same)
c2d362b	3.723635	10.0	discard	MIN_LR = 0 (decay to zero, worse)
